movement_number,X,Y,Z
425,-17,-10,57.0
426,-17,-10,58.0
427,-17,-10,59.0
428,-17,-10,60.0
429,-17,-10,61.0
430,-17,-10,62.0
431,-17,-10,63.0
432,-17,-10,64.0
433,-17,-10,65.0
434,-17,-10,66.0
435,-17,-10,67.0
436,-17,-10,68.0
437,-17,-10,69.0
438,-17,-10,70.0
439,-17,-10,71.0
440,-17,-10,72.0
441,-17,-10,73.0
442,-17,-10,74.0
443,-17,-10,75.0
444,-17,-10,76.0
445,-17,-10,77.0
446,-17,-10,78.0
447,-17,-10,79.0
448,-17,-10,80.0
449,-16,-10,20.0
450,-16,-10,21.0
451,-16,-10,22.0
452,-16,-10,23.0
453,-16,-10,24.0
454,-16,-10,25.0
455,-16,-10,26.0
456,-16,-10,27.0
457,-16,-10,28.0
458,-16,-10,29.0
459,-16,-10,30.0
460,-16,-10,31.0
461,-16,-10,32.0
462,-16,-10,33.0
463,-16,-10,34.0
464,-16,-10,35.0
465,-16,-10,36.0
466,-16,-10,37.0
467,-16,-10,38.0
468,-16,-10,39.0
469,-16,-10,40.0
470,-16,-10,41.0
471,-16,-10,42.0
472,-16,-10,43.0
473,-16,-10,44.0
474,-16,-10,45.0
475,-16,-10,46.0
476,-16,-10,47.0
477,-16,-10,48.0
478,-16,-10,49.0
479,-16,-10,50.0
480,-16,-10,51.0
481,-16,-10,52.0
482,-16,-10,53.0
483,-16,-10,54.0
484,-16,-10,55.0
485,-16,-10,56.0
486,-16,-10,57.0
487,-16,-10,58.0
488,-16,-10,59.0
489,-16,-10,60.0
490,-16,-10,61.0
491,-16,-10,62.0
492,-16,-10,63.0
493,-16,-10,64.0
494,-16,-10,65.0
495,-16,-10,66.0
496,-16,-10,67.0
497,-16,-10,68.0
498,-16,-10,69.0
499,-16,-10,70.0
500,-16,-10,71.0
501,-16,-10,72.0
502,-16,-10,73.0
503,-16,-10,74.0
504,-16,-10,75.0
505,-16,-10,76.0
506,-16,-10,77.0
507,-16,-10,78.0
508,-16,-10,79.0
509,-16,-10,80.0
510,-15,-10,20.0
511,-15,-10,21.0
512,-15,-10,22.0
513,-15,-10,23.0
514,-15,-10,24.0
515,-15,-10,25.0
516,-15,-10,26.0
517,-15,-10,27.0
518,-15,-10,28.0
519,-15,-10,29.0
520,-15,-10,30.0
521,-15,-10,31.0
522,-15,-10,32.0
523,-15,-10,33.0
524,-15,-10,34.0
525,-15,-10,35.0
526,-15,-10,36.0
527,-15,-10,37.0
528,-15,-10,38.0
529,-15,-10,39.0
530,-15,-10,40.0
531,-15,-10,41.0
532,-15,-10,42.0
533,-15,-10,43.0
534,-15,-10,44.0
535,-15,-10,45.0
536,-15,-10,46.0
537,-15,-10,47.0
538,-15,-10,48.0
539,-15,-10,49.0
540,-15,-10,50.0
541,-15,-10,51.0
542,-15,-10,52.0
543,-15,-10,53.0
544,-15,-10,54.0
545,-15,-10,55.0
546,-15,-10,56.0
547,-15,-10,57.0
548,-15,-10,58.0
549,-15,-10,59.0
550,-15,-10,60.0
551,-15,-10,61.0
552,-15,-10,62.0
553,-15,-10,63.0
554,-15,-10,64.0
555,-15,-10,65.0
556,-15,-10,66.0
557,-15,-10,67.0
558,-15,-10,68.0
559,-15,-10,69.0
560,-15,-10,70.0
561,-15,-10,71.0
562,-15,-10,72.0
563,-15,-10,73.0
564,-15,-10,74.0
565,-15,-10,75.0
566,-15,-10,76.0
567,-15,-10,77.0
568,-15,-10,78.0
569,-15,-10,79.0
570,-15,-10,80.0
571,-14,-10,20.0
572,-14,-10,21.0
573,-14,-10,22.0
574,-14,-10,23.0
575,-14,-10,24.0
576,-14,-10,25.0
577,-14,-10,26.0
578,-14,-10,27.0
579,-14,-10,28.0
580,-14,-10,29.0
581,-14,-10,30.0
582,-14,-10,31.0
583,-14,-10,32.0
584,-14,-10,33.0
585,-14,-10,34.0
586,-14,-10,35.0
587,-14,-10,36.0
588,-14,-10,37.0
589,-14,-10,38.0
590,-14,-10,39.0
591,-14,-10,40.0
592,-14,-10,41.0
593,-14,-10,42.0
594,-14,-10,43.0
595,-14,-10,44.0
596,-14,-10,45.0
597,-14,-10,46.0
598,-14,-10,47.0
599,-14,-10,48.0
600,-14,-10,49.0
601,-14,-10,50.0
602,-14,-10,51.0
603,-14,-10,52.0
604,-14,-10,53.0
605,-14,-10,54.0
606,-14,-10,55.0
607,-14,-10,56.0
608,-14,-10,57.0
609,-14,-10,58.0
610,-14,-10,59.0
611,-14,-10,60.0
612,-14,-10,61.0
613,-14,-10,62.0
614,-14,-10,63.0
615,-14,-10,64.0
616,-14,-10,65.0
617,-14,-10,66.0
618,-14,-10,67.0
619,-14,-10,68.0
620,-14,-10,69.0
621,-14,-10,70.0
622,-14,-10,71.0
623,-14,-10,72.0
624,-14,-10,73.0
625,-14,-10,74.0
626,-14,-10,75.0
627,-14,-10,76.0
628,-14,-10,77.0
629,-14,-10,78.0
630,-14,-10,79.0
631,-14,-10,80.0
632,-13,-10,20.0
633,-13,-10,21.0
634,-13,-10,22.0
635,-13,-10,23.0
636,-13,-10,24.0
637,-13,-10,25.0
638,-13,-10,26.0
639,-13,-10,27.0
640,-13,-10,28.0
641,-13,-10,29.0
642,-13,-10,30.0
643,-13,-10,31.0
644,-13,-10,32.0
645,-13,-10,33.0
646,-13,-10,34.0
647,-13,-10,35.0
648,-13,-10,36.0
649,-13,-10,37.0
650,-13,-10,38.0
651,-13,-10,39.0
652,-13,-10,40.0
653,-13,-10,41.0
654,-13,-10,42.0
655,-13,-10,43.0
656,-13,-10,44.0
657,-13,-10,45.0
658,-13,-10,46.0
659,-13,-10,47.0
660,-13,-10,48.0
661,-13,-10,49.0
662,-13,-10,50.0
663,-13,-10,51.0
664,-13,-10,52.0
665,-13,-10,53.0
666,-13,-10,54.0
667,-13,-10,55.0
668,-13,-10,56.0
669,-13,-10,57.0
670,-13,-10,58.0
671,-13,-10,59.0
672,-13,-10,60.0
673,-13,-10,61.0
674,-13,-10,62.0
675,-13,-10,63.0
676,-13,-10,64.0
677,-13,-10,65.0
678,-13,-10,66.0
679,-13,-10,67.0
680,-13,-10,68.0
681,-13,-10,69.0
682,-13,-10,70.0
683,-13,-10,71.0
684,-13,-10,72.0
685,-13,-10,73.0
686,-13,-10,74.0
687,-13,-10,75.0
688,-13,-10,76.0
689,-13,-10,77.0
690,-13,-10,78.0
691,-13,-10,79.0
692,-13,-10,80.0
693,-12,-10,20.0
694,-12,-10,21.0
695,-12,-10,22.0
696,-12,-10,23.0
697,-12,-10,24.0
698,-12,-10,25.0
699,-12,-10,26.0
700,-12,-10,27.0
701,-12,-10,28.0
702,-12,-10,29.0
703,-12,-10,30.0
704,-12,-10,31.0
705,-12,-10,32.0
706,-12,-10,33.0
707,-12,-10,34.0
708,-12,-10,35.0
709,-12,-10,36.0
710,-12,-10,37.0
711,-12,-10,38.0
712,-12,-10,39.0
713,-12,-10,40.0
714,-12,-10,41.0
715,-12,-10,42.0
716,-12,-10,43.0
717,-12,-10,44.0
718,-12,-10,45.0
719,-12,-10,46.0
720,-12,-10,47.0
721,-12,-10,48.0
722,-12,-10,49.0
723,-12,-10,50.0
724,-12,-10,51.0
725,-12,-10,52.0
726,-12,-10,53.0
727,-12,-10,54.0
728,-12,-10,55.0
729,-12,-10,56.0
730,-12,-10,57.0
731,-12,-10,58.0
732,-12,-10,59.0
733,-12,-10,60.0
734,-12,-10,61.0
735,-12,-10,62.0
736,-12,-10,63.0
737,-12,-10,64.0
738,-12,-10,65.0
739,-12,-10,66.0
740,-12,-10,67.0
741,-12,-10,68.0
742,-12,-10,69.0
743,-12,-10,70.0
744,-12,-10,71.0
745,-12,-10,72.0
746,-12,-10,73.0
747,-12,-10,74.0
748,-12,-10,75.0
749,-12,-10,76.0
750,-12,-10,77.0
751,-12,-10,78.0
752,-12,-10,79.0
753,-12,-10,80.0
754,-11,-10,20.0
755,-11,-10,21.0
756,-11,-10,22.0
757,-11,-10,23.0
758,-11,-10,24.0
759,-11,-10,25.0
760,-11,-10,26.0
761,-11,-10,27.0
762,-11,-10,28.0
763,-11,-10,29.0
764,-11,-10,30.0
765,-11,-10,31.0
766,-11,-10,32.0
767,-11,-10,33.0
768,-11,-10,34.0
769,-11,-10,35.0
770,-11,-10,36.0
771,-11,-10,37.0
772,-11,-10,38.0
773,-11,-10,39.0
774,-11,-10,40.0
775,-11,-10,41.0
776,-11,-10,42.0
777,-11,-10,43.0
778,-11,-10,44.0
779,-11,-10,45.0
780,-11,-10,46.0
781,-11,-10,47.0
782,-11,-10,48.0
783,-11,-10,49.0
784,-11,-10,50.0
785,-11,-10,51.0
786,-11,-10,52.0
787,-11,-10,53.0
788,-11,-10,54.0
789,-11,-10,55.0
790,-11,-10,56.0
791,-11,-10,57.0
792,-11,-10,58.0
793,-11,-10,59.0
794,-11,-10,60.0
795,-11,-10,61.0
796,-11,-10,62.0
797,-11,-10,63.0
798,-11,-10,64.0
799,-11,-10,65.0
800,-11,-10,66.0
801,-11,-10,67.0
802,-11,-10,68.0
803,-11,-10,69.0
804,-11,-10,70.0
805,-11,-10,71.0
806,-11,-10,72.0
807,-11,-10,73.0
808,-11,-10,74.0
809,-11,-10,75.0
810,-11,-10,76.0
811,-11,-10,77.0
812,-11,-10,78.0
813,-11,-10,79.0
814,-11,-10,80.0
815,-10,-10,20.0
816,-10,-10,21.0
817,-10,-10,22.0
818,-10,-10,23.0
819,-10,-10,24.0
820,-10,-10,25.0
821,-10,-10,26.0
822,-10,-10,27.0
823,-10,-10,28.0
824,-10,-10,29.0
825,-10,-10,30.0
826,-10,-10,31.0
827,-10,-10,32.0
828,-10,-10,33.0
829,-10,-10,34.0
830,-10,-10,35.0
831,-10,-10,36.0
832,-10,-10,37.0
833,-10,-10,38.0
834,-10,-10,39.0
835,-10,-10,40.0
836,-10,-10,41.0
837,-10,-10,42.0
838,-10,-10,43.0
839,-10,-10,44.0
840,-10,-10,45.0
841,-10,-10,46.0
842,-10,-10,47.0
843,-10,-10,48.0
844,-10,-10,49.0
845,-10,-10,50.0
846,-10,-10,51.0
847,-10,-10,52.0
848,-10,-10,53.0
849,-10,-10,54.0
850,-10,-10,55.0
851,-10,-10,56.0
852,-10,-10,57.0
853,-10,-10,58.0
854,-10,-10,59.0
855,-10,-10,60.0
856,-10,-10,61.0
857,-10,-10,62.0
858,-10,-10,63.0
859,-10,-10,64.0
860,-10,-10,65.0
861,-10,-10,66.0
862,-10,-10,67.0
863,-10,-10,68.0
864,-10,-10,69.0
865,-10,-10,70.0
866,-10,-10,71.0
867,-10,-10,72.0
868,-10,-10,73.0
869,-10,-10,74.0
870,-10,-10,75.0
871,-10,-10,76.0
872,-10,-10,77.0
873,-10,-10,78.0
874,-10,-10,79.0
875,-10,-10,80.0
876,-9,-10,20.0
877,-9,-10,21.0
878,-9,-10,22.0
879,-9,-10,23.0
880,-9,-10,24.0
881,-9,-10,25.0
882,-9,-10,26.0
883,-9,-10,27.0
884,-9,-10,28.0
885,-9,-10,29.0
886,-9,-10,30.0
887,-9,-10,31.0
888,-9,-10,32.0
889,-9,-10,33.0
890,-9,-10,34.0
891,-9,-10,35.0
892,-9,-10,36.0
893,-9,-10,37.0
894,-9,-10,38.0
895,-9,-10,39.0
896,-9,-10,40.0
897,-9,-10,41.0
898,-9,-10,42.0
899,-9,-10,43.0
900,-9,-10,44.0
901,-9,-10,45.0
902,-9,-10,46.0
903,-9,-10,47.0
904,-9,-10,48.0
905,-9,-10,49.0
906,-9,-10,50.0
907,-9,-10,51.0
908,-9,-10,52.0
909,-9,-10,53.0
910,-9,-10,54.0
911,-9,-10,55.0
912,-9,-10,56.0
913,-9,-10,57.0
914,-9,-10,58.0
915,-9,-10,59.0
916,-9,-10,60.0
917,-9,-10,61.0
918,-9,-10,62.0
919,-9,-10,63.0
920,-9,-10,64.0
921,-9,-10,65.0
922,-9,-10,66.0
923,-9,-10,67.0
924,-9,-10,68.0
925,-9,-10,69.0
926,-9,-10,70.0
927,-9,-10,71.0
928,-9,-10,72.0
929,-9,-10,73.0
930,-9,-10,74.0
931,-9,-10,75.0
932,-9,-10,76.0
933,-9,-10,77.0
934,-9,-10,78.0
935,-9,-10,79.0
936,-9,-10,80.0
937,-8,-10,20.0
938,-8,-10,21.0
939,-8,-10,22.0
940,-8,-10,23.0
941,-8,-10,24.0
942,-8,-10,25.0
943,-8,-10,26.0
944,-8,-10,27.0
945,-8,-10,28.0
946,-8,-10,29.0
947,-8,-10,30.0
948,-8,-10,31.0
949,-8,-10,32.0
950,-8,-10,33.0
951,-8,-10,34.0
952,-8,-10,35.0
953,-8,-10,36.0
954,-8,-10,37.0
955,-8,-10,38.0
956,-8,-10,39.0
957,-8,-10,40.0
958,-8,-10,41.0
959,-8,-10,42.0
960,-8,-10,43.0
961,-8,-10,44.0
962,-8,-10,45.0
963,-8,-10,46.0
964,-8,-10,47.0
965,-8,-10,48.0
966,-8,-10,49.0
967,-8,-10,50.0
968,-8,-10,51.0
969,-8,-10,52.0
970,-8,-10,53.0
971,-8,-10,54.0
972,-8,-10,55.0
973,-8,-10,56.0
974,-8,-10,57.0
975,-8,-10,58.0
976,-8,-10,59.0
977,-8,-10,60.0
978,-8,-10,61.0
979,-8,-10,62.0
980,-8,-10,63.0
981,-8,-10,64.0
982,-8,-10,65.0
983,-8,-10,66.0
984,-8,-10,67.0
985,-8,-10,68.0
986,-8,-10,69.0
987,-8,-10,70.0
988,-8,-10,71.0
989,-8,-10,72.0
990,-8,-10,73.0
991,-8,-10,74.0
992,-8,-10,75.0
993,-8,-10,76.0
994,-8,-10,77.0
995,-8,-10,78.0
996,-8,-10,79.0
997,-8,-10,80.0
998,-7,-10,20.0
999,-7,-10,21.0
1000,-7,-10,22.0
1001,-7,-10,23.0
1002,-7,-10,24.0
1003,-7,-10,25.0
1004,-7,-10,26.0
1005,-7,-10,27.0
1006,-7,-10,28.0
1007,-7,-10,29.0
1008,-7,-10,30.0
1009,-7,-10,31.0
1010,-7,-10,32.0
1011,-7,-10,33.0
1012,-7,-10,34.0
1013,-7,-10,35.0
1014,-7,-10,36.0
1015,-7,-10,37.0
1016,-7,-10,38.0
1017,-7,-10,39.0
1018,-7,-10,40.0
1019,-7,-10,41.0
1020,-7,-10,42.0
1021,-7,-10,43.0
1022,-7,-10,44.0
1023,-7,-10,45.0
1024,-7,-10,46.0
1025,-7,-10,47.0
1026,-7,-10,48.0
1027,-7,-10,49.0
1028,-7,-10,50.0
1029,-7,-10,51.0
1030,-7,-10,52.0
1031,-7,-10,53.0
1032,-7,-10,54.0
1033,-7,-10,55.0
1034,-7,-10,56.0
1035,-7,-10,57.0
1036,-7,-10,58.0
1037,-7,-10,59.0
1038,-7,-10,60.0
1039,-7,-10,61.0
1040,-7,-10,62.0
1041,-7,-10,63.0
1042,-7,-10,64.0
1043,-7,-10,65.0
1044,-7,-10,66.0
1045,-7,-10,67.0
1046,-7,-10,68.0
1047,-7,-10,69.0
1048,-7,-10,70.0
1049,-7,-10,71.0
1050,-7,-10,72.0
1051,-7,-10,73.0
1052,-7,-10,74.0
1053,-7,-10,75.0
1054,-7,-10,76.0
1055,-7,-10,77.0
1056,-7,-10,78.0
1057,-7,-10,79.0
1058,-7,-10,80.0
1059,-6,-10,20.0
1060,-6,-10,21.0
1061,-6,-10,22.0
1062,-6,-10,23.0
1063,-6,-10,24.0
1064,-6,-10,25.0
1065,-6,-10,26.0
1066,-6,-10,27.0
1067,-6,-10,28.0
1068,-6,-10,29.0
1069,-6,-10,30.0
1070,-6,-10,31.0
1071,-6,-10,32.0
1072,-6,-10,33.0
1073,-6,-10,34.0
1074,-6,-10,35.0
1075,-6,-10,36.0
1076,-6,-10,37.0
1077,-6,-10,38.0
1078,-6,-10,39.0
1079,-6,-10,40.0
1080,-6,-10,41.0
1081,-6,-10,42.0
1082,-6,-10,43.0
1083,-6,-10,44.0
1084,-6,-10,45.0
1085,-6,-10,46.0
1086,-6,-10,47.0
1087,-6,-10,48.0
1088,-6,-10,49.0
1089,-6,-10,50.0
1090,-6,-10,51.0
1091,-6,-10,52.0
1092,-6,-10,53.0
1093,-6,-10,54.0
1094,-6,-10,55.0
1095,-6,-10,56.0
1096,-6,-10,57.0
1097,-6,-10,58.0
1098,-6,-10,59.0
1099,-6,-10,60.0
1100,-6,-10,61.0
1101,-6,-10,62.0
1102,-6,-10,63.0
1103,-6,-10,64.0
1104,-6,-10,65.0
1105,-6,-10,66.0
1106,-6,-10,67.0
1107,-6,-10,68.0
1108,-6,-10,69.0
1109,-6,-10,70.0
1110,-6,-10,71.0
1111,-6,-10,72.0
1112,-6,-10,73.0
1113,-6,-10,74.0
1114,-6,-10,75.0
1115,-6,-10,76.0
1116,-6,-10,77.0
1117,-6,-10,78.0
1118,-6,-10,79.0
1119,-6,-10,80.0
1120,-5,-10,20.0
1121,-5,-10,21.0
1122,-5,-10,22.0
1123,-5,-10,23.0
1124,-5,-10,24.0
1125,-5,-10,25.0
1126,-5,-10,26.0
1127,-5,-10,27.0
1128,-5,-10,28.0
1129,-5,-10,29.0
1130,-5,-10,30.0
1131,-5,-10,31.0
1132,-5,-10,32.0
1133,-5,-10,33.0
1134,-5,-10,34.0
1135,-5,-10,35.0
1136,-5,-10,36.0
1137,-5,-10,37.0
1138,-5,-10,38.0
1139,-5,-10,39.0
1140,-5,-10,40.0
1141,-5,-10,41.0
1142,-5,-10,42.0
1143,-5,-10,43.0
1144,-5,-10,44.0
1145,-5,-10,45.0
1146,-5,-10,46.0
1147,-5,-10,47.0
1148,-5,-10,48.0
1149,-5,-10,49.0
1150,-5,-10,50.0
1151,-5,-10,51.0
1152,-5,-10,52.0
1153,-5,-10,53.0
1154,-5,-10,54.0
1155,-5,-10,55.0
1156,-5,-10,56.0
1157,-5,-10,57.0
1158,-5,-10,58.0
1159,-5,-10,59.0
1160,-5,-10,60.0
1161,-5,-10,61.0
1162,-5,-10,62.0
